test2020-01-09 14:29:01,650 - __main__ - INFO - Retrieving the-new-york-times from newsapi.org
2020-01-09 15:23:54,480 - headline_collector - INFO - collected data
2020-01-09 15:23:54,481 - headline_collector - INFO - requesting from 2019-12-22T16:00:00 to 2019-12-22T19:59:59
2020-01-09 15:23:54,481 - headline_collector - INFO - page: 1
2020-01-09 15:23:55,148 - headline_collector - INFO - collected data
2020-01-09 15:23:55,148 - headline_collector - INFO - page: 2
2020-01-09 15:23:55,808 - headline_collector - INFO - collected data
2020-01-09 15:23:55,809 - headline_collector - INFO - requesting from 2019-12-22T20:00:00 to 2019-12-22T23:59:59
2020-01-09 15:23:55,809 - headline_collector - INFO - page: 1
2020-01-09 15:23:56,522 - headline_collector - INFO - collected data
2020-01-09 15:23:56,523 - headline_collector - INFO - Splitting into 6 intervals
2020-01-09 15:23:56,523 - headline_collector - INFO - requesting from 2019-12-22T00:00:00 to 2019-12-22T03:59:59
2020-01-09 15:23:56,523 - headline_collector - INFO - page: 1
2020-01-09 15:23:57,090 - headline_collector - INFO - collected data
2020-01-09 15:23:57,090 - headline_collector - INFO - requesting from 2019-12-22T04:00:00 to 2019-12-22T07:59:59
2020-01-09 15:23:57,090 - headline_collector - INFO - page: 1
2020-01-09 15:23:57,641 - headline_collector - INFO - collected data
2020-01-09 15:23:57,641 - headline_collector - INFO - requesting from 2019-12-22T08:00:00 to 2019-12-22T11:59:59
2020-01-09 15:23:57,641 - headline_collector - INFO - page: 1
2020-01-09 15:23:58,474 - headline_collector - INFO - collected data
2020-01-09 15:23:58,474 - headline_collector - INFO - requesting from 2019-12-22T12:00:00 to 2019-12-22T15:59:59
2020-01-09 15:23:58,474 - headline_collector - INFO - page: 1
2020-01-09 15:23:59,191 - headline_collector - INFO - collected data
2020-01-09 15:23:59,191 - headline_collector - INFO - requesting from 2019-12-22T16:00:00 to 2019-12-22T19:59:59
2020-01-09 15:23:59,191 - headline_collector - INFO - page: 1
2020-01-09 15:23:59,882 - headline_collector - INFO - collected data
2020-01-09 15:23:59,883 - headline_collector - INFO - page: 2
2020-01-09 15:24:00,454 - headline_collector - INFO - collected data
2020-01-09 15:24:00,454 - headline_collector - INFO - requesting from 2019-12-22T20:00:00 to 2019-12-22T23:59:59
2020-01-09 15:24:00,455 - headline_collector - INFO - page: 1
2020-01-09 15:24:01,165 - headline_collector - INFO - collected data
2020-01-09 15:24:01,165 - headline_collector - INFO - Splitting into 6 intervals
2020-01-09 15:24:01,165 - headline_collector - INFO - requesting from 2019-12-23T00:00:00 to 2019-12-23T03:59:59
2020-01-09 15:24:01,165 - headline_collector - INFO - page: 1
2020-01-09 15:24:01,859 - headline_collector - INFO - collected data
2020-01-09 15:24:01,860 - headline_collector - INFO - page: 2
2020-01-09 15:24:02,407 - headline_collector - INFO - collected data
2020-01-09 15:24:02,407 - headline_collector - INFO - requesting from 2019-12-23T04:00:00 to 2019-12-23T07:59:59
2020-01-09 15:24:02,407 - headline_collector - INFO - page: 1
2020-01-09 15:24:03,103 - headline_collector - INFO - collected data
2020-01-09 15:24:03,104 - headline_collector - INFO - requesting from 2019-12-23T08:00:00 to 2019-12-23T11:59:59
2020-01-09 15:24:03,104 - headline_collector - INFO - page: 1
2020-01-09 15:24:03,772 - headline_collector - INFO - collected data
2020-01-09 15:24:03,772 - headline_collector - INFO - requesting from 2019-12-23T12:00:00 to 2019-12-23T15:59:59
2020-01-09 15:24:03,772 - headline_collector - INFO - page: 1
2020-01-09 15:24:04,434 - headline_collector - INFO - collected data
2020-01-09 15:24:04,435 - headline_collector - INFO - page: 2
2020-01-09 15:24:05,135 - headline_collector - INFO - collected data
2020-01-09 15:24:05,136 - headline_collector - INFO - requesting from 2019-12-23T16:00:00 to 2019-12-23T19:59:59
2020-01-09 15:24:05,136 - headline_collector - INFO - page: 1
2020-01-09 15:24:05,842 - headline_collector - INFO - collected data
2020-01-09 15:24:05,842 - headline_collector - INFO - page: 2
2020-01-09 15:24:06,503 - headline_collector - INFO - collected data
2020-01-09 15:24:06,503 - headline_collector - INFO - page: 3
2020-01-09 15:24:07,192 - headline_collector - INFO - collected data
2020-01-09 15:24:07,193 - headline_collector - INFO - requesting from 2019-12-23T20:00:00 to 2019-12-23T23:59:59
2020-01-09 15:24:07,193 - headline_collector - INFO - page: 1
2020-01-09 15:24:07,859 - headline_collector - INFO - collected data
2020-01-09 15:24:07,859 - headline_collector - INFO - page: 2
2020-01-09 15:24:08,560 - headline_collector - INFO - collected data
